produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
141463;8;233305;2020-11-25 12:27:04.125075;61.00;;;1
141556;8;233398;2018-12-20 13:37:30;22.84;22.84;;1
142402;8;234245;2020-05-25 08:58:43.003557;2485.00;2485.00;;1
142416;96;1446;2020-12-30 11:28:02;117.72;117.72;;1
142424;8;234269;2019-01-07 14:55:37;1449.99;1449.99;;1
142430;8;234274;2019-01-09 08:11:27;32.99;32.99;;1
142469;96;231819;2021-04-15 17:23:43.208329;399.00;399.00;;1
142474;8;234315;2021-03-02 09:22:39.478569;120.65;120.65;63.49;1
142506;8;234348;2020-11-04 12:18:22.709095;1000.00;1000.00;540.00;1
142521;8;234351;2019-01-31 16:37:22.024262;207.00;207.00;;1
142532;8;234362;2019-02-28 12:18:12.447539;24.99;24.99;;1
144318;96;236141;2020-12-30 11:28:28;133.17;133.17;;1
144319;96;236142;2020-12-30 11:28:28;251.64;251.64;;1
145643;8;237466;2021-04-01 12:33:02.190542;59.00;59.00;;1
146274;8;238097;2021-03-11 10:00:13.480734;229.00;229.00;;1
146275;8;238098;2021-04-27 14:18:32.649683;205.00;205.00;;1
148191;8;240033;2019-04-09 11:13:32.634832;524.40;524.40;;1
148203;8;240044;2019-04-12 13:06:22.836311;1360.00;1360.00;;1
161662;8;240918;2020-06-25 11:05:27.997702;549.00;549.00;;1
184492;8;20002;2020-05-25 12:33:42.527684;21.99;21.99;;1
187553;96;243964;2020-12-30 11:35:40;7.55;7.55;;1
187585;8;33600;2019-05-13 15:50:56.419865;32.99;32.99;;1
187593;8;244007;2021-03-13 09:24:17.088809;139.99;139.99;;1
190189;8;246612;2019-05-29 17:10:37.896283;188.86;188.86;;1
191634;8;248057;2021-03-22 12:39:58.932158;494.99;494.99;;1
191635;8;248058;2021-03-22 12:40:56.225744;439.99;439.99;;1
193755;8;250178;2021-03-01 18:14:44.317007;399.00;399.00;;1
195907;8;252330;2021-03-15 10:11:58.690549;230.00;230.00;;1
198944;8;255367;2021-04-06 10:58:31;174.28;174.28;89.37;1
